id,name,lat,lng,address
1,蘇媽媽湯圓,23.9669000,120.9696000,南投縣埔里鎮中山路三段118號
2,李仔哥爌肉飯,23.9723000,120.9665000,南投縣埔里鎮信義路326號
3,就要醬滷四川滷味 (埔里店),23.9682043,120.9703656,(△)南投縣埔里鎮北環路104號
4,就要醬滷四川滷味 (埔里店),23.9682043,120.9703656,(△)南投縣埔里鎮北環路104號
5,就要醬滷四川滷味 (埔里店),23.9682043,120.9703656,(△)南投縣埔里鎮北環路104號
6,就要醬滷四川滷味 (埔里店),23.9682043,120.9703656,(△)南投縣埔里鎮北環路104號
13,呷尚寶 (埔里店),23.9686608,120.9696661,(△)南投縣埔里鎮北環路137號
14,麥味登 (埔里東榮店),23.9649799,120.9689179,(O)南投縣埔里鎮東門里東榮路175號1樓
15,JULU Cafe (鉅鹿咖啡館),23.9646523,120.9687005,(△) 南投縣埔里鎮東榮路155號
16,崎下粥鋪(創始店),23.9576629,120.9743563,(△)南投縣埔里鎮東興二街157號
17,丞星雞肉飯專門店,23.9673305,120.9697177,(△)南投縣埔里鎮中山路二段229號
18,阿Q廚房-精緻便當,23.9691722,120.9733253,(△)南投縣埔里鎮中華路185號
19,八曜和茶 (南投埔里忠孝店),23.9623311,120.9700543,(O)南投縣埔里鎮忠孝路125之1號
20,50嵐 (埔里中正店),23.9645929,120.9681489,(O)南投縣埔里鎮東門里中正路384號1樓
21,埔里太祖魷魚羹,23.9675245,120.9628697,(△)南投縣埔里鎮南昌街268號
23,go呷麵食館,23.9709287,120.9753392,(△)南投縣埔里鎮中山路二段34號
24,老二豬腳飯,23.9582558,120.9729460,(△)南投縣埔里鎮中正路187-1號
25,樂卓手搖飲,23.9666793,120.9657656,(△)南投縣埔里鎮中正路466號
26,蘇手工蛋餅,23.9729009,120.9517148,(△) 南投縣埔里鎮大城路204號
27,肯德基KFC炸雞漢堡店 (南投埔里店),23.9638394,120.9689263,(X)南投縣埔里鎮中正路340號
28,36酵母鬆餅/姜有種咖啡,23.9598870,120.9701060,(△) 南投縣埔里鎮南興街9之16號
29,早點名飯糰,23.9671150,120.9715400,"(△)南投縣 埔里鎮 北環路 72, Taiwan"
30,可不可熟成茶行 (南投埔里店),23.9645205,120.9680336,(O)南投縣埔里鎮中正路377號
31,得正 OOLONG TEA PROJECT (埔里中正計劃),23.9639776,120.9687767,(O)南投縣埔里鎮中正路352號
33,秉峰鍋燒店 (南投埔里店),23.9625221,120.9703049,(△)南投縣埔里鎮中正路288號
34,嘟嘟菜頭粿膳食坊,23.9621747,120.9661925,(△)南投縣埔里鎮同聲里南興街163號
35,製飯糰 (埔里店),23.9607964,120.9683350,(△)南投縣埔里鎮忠孝路6號
36,南興街轉角西瓜汁專賣,23.9629681,120.9650483,(△)南投縣埔里鎮南興街219號
37,傻師傅湯包 (南投埔里店),23.9673996,120.9680023,(△) 南投縣埔里鎮西安路一段189-2號
38,呷尚宝 (埔里仁愛店),23.9670243,120.9639583,(△)南投縣埔里鎮南昌街248號
39,黑肉麵,23.9693645,120.9558604,(△) 南投縣埔里鎮中山路三段354號
40,紅茶帝國 (埔里中正店),23.9631851,120.9694405,(△)南投縣埔里鎮中正路322號
41,STARBUCKS 星巴克 (埔里門市),23.9684406,120.9587983,(X)南投縣埔里鎮中山路三段245號
42,十二韻 (埔里中正店),23.9636962,120.9689193,(O)南投縣埔里鎮中正路335號
43,85度C (埔里中正店),23.9623421,120.9702867,(O)南投縣埔里鎮中正路275-2號
44,喬治派克 (埔里中正店),23.9644756,120.9680817,(O) 南投縣埔里鎮中正路386號
45,大苑子 (埔里店),23.9655825,120.9678222,(O) 南投縣埔里鎮中山路二段291號
47,早安美芝城 (埔里中正概念店),23.9668960,120.9655373,(△)南投縣埔里鎮中正路470之2號
48,晨間廚房 (埔里北環店),23.9683342,120.9701317,(△) 南投縣埔里鎮北環路109號
50,振松記米粉,23.9678766,120.9609200,(△) 南投縣埔里鎮中山路三段215號
51,歐浮找餐 (埔里中山店),23.9660412,120.9681041,(O)南投縣埔里鎮北門里中山路二段280號1樓
